sample,geometry_variant,model,features,parameter_count,coefficients,standard_errors,rank,full_rank,condition_number,chi2,minus_two_log_likelihood,aicc,bic,loo_rmse,class_holdout_rmse,loo_rmse_ratio_to_intercept,class_holdout_rmse_ratio_to_intercept,support_threshold_pass
all_six,fiducial,gamma_dyn,"[""log10_gamma_dyn""]",2,"[0.3301026571230824, 0.2496655043508255]","[0.07854403449570166, 0.04290741542879845]",2,True,9.15283375484911,93.49541068138551,62.859022279265965,68.05902227926596,67.98892099418904,0.5126542526620173,0.9308570996841345,0.909242136897805,1.1299560220588454,False
all_six,fiducial,gamma_gas,"[""log10_gamma_gas""]",2,"[0.40482793814221857, 0.21692770772552705]","[0.06948740330463966, 0.03930759610495487]",2,True,7.9183155456104615,96.89641862159611,66.26003021947658,71.46003021947658,71.38992893439965,0.5203440966829364,0.9675628301174676,0.9228808225688686,1.1745126582614238,False
all_six,fiducial,gamma_dyn_plus_fgas,"[""log10_gamma_dyn"", ""fgas""]",3,"[1.0990527374353638, 0.48951777350738684, -1.4156016681181582]","[0.19054397636158146, 0.06908916931031742, 0.31959427561593323]",3,True,40.9870169825636,73.87608178606527,43.23969338394573,51.90636005061239,50.93454145633034,0.4474064888195449,0.9512191104510929,0.7935188869376698,1.154673217313798,False
all_six,inclination_low,intercept,[],1,[0.8074869506204662],[0.02015592164847438],1,True,1.0,111.90358806753031,81.26719966541074,83.6308360290471,83.83214902287229,0.5252633410500082,0.7711595050952488,1.0,1.0,False
all_six,inclination_low,gamma_dyn,"[""log10_gamma_dyn""]",2,"[0.4065845741089977, 0.22659498126223437]","[0.07854403449570166, 0.04290741542879845]",2,True,9.15283375484911,84.0144005075697,53.37801210545016,58.57801210545016,58.50791082037323,0.48103508070844603,0.9031115454764749,0.9157979305139603,1.1711086221584317,False
all_six,inclination_low,gamma_gas,"[""log10_gamma_gas""]",2,"[0.473662699599503, 0.197321001089658]","[0.06948740330463966, 0.03930759610495487]",2,True,7.9183155456104615,86.70398787673024,56.06759947461069,61.26759947461069,61.19749818953376,0.48693465312569273,0.9293696830623438,0.9270295774921282,1.2051588250183778,False
all_six,inclination_low,gamma_dyn_plus_fgas,"[""log10_gamma_dyn"", ""fgas""]",3,"[1.0751088993548714, 0.4351222712671494, -1.2307224802048182]","[0.19054397636158146, 0.06908916931031742, 0.31959427561593323]",3,True,40.9870169825636,69.18504478328741,38.54865638116786,47.215323047834524,46.24350445355247,0.428777014532254,0.9045214266823578,0.8163086608616608,1.1729368836225873,False
all_six,inclination_high,intercept,[],1,[0.7449827644482062],[0.02015592164847438],1,True,1.0,141.1405488506309,110.50416044851137,112.86779681214773,113.06910980597291,0.5983102935513023,0.8711973409332908,1.0,1.0,False
all_six,inclination_high,gamma_dyn,"[""log10_gamma_dyn""]",2,"[0.2816647328222404, 0.2618730814426532]","[0.07854403449570166, 0.04290741542879845]",2,True,9.15283375484911,103.8913439665747,73.25495556445514,78.45495556445515,78.38485427937822,0.5439234157716061,0.9595685406604054,0.9090992109514279,1.1014364892717015,False
all_six,inclination_high,gamma_gas,"[""log10_gamma_gas""]",2,"[0.3614635461359615, 0.22669532205358855]","[0.06948740330463966, 0.03930759610495487]",2,True,7.9183155456104615,107.87979050450951,77.24340210238994,82.44340210238994,82.37330081731301,0.5527163568976537,1.0045841238281894,0.9237955001859933,1.1531074265584935,False
all_six,inclination_high,gamma_dyn_plus_fgas,"[""log10_gamma_dyn"", ""fgas""]",3,"[1.1457350781433886, 0.531395431907854, -1.5907136932885164]","[0.19054397636158146, 0.06908916931031742, 0.31959427561593323]",3,True,40.9870169825636,79.11791884058016,48.481530438460595,57.14819710512726,56.176378510845204,0.46644419841397194,0.9954866460182823,0.7796024962989819,1.1426649270437896,False
all_six,distance_low,intercept,[],1,[0.8098745186042087],[0.02015592164847438],1,True,1.0,137.87055542849367,107.23416702637418,109.59780339001054,109.79911638383572,0.5824166587322267,0.8764338086810683,1.0,1.0,False
all_six,distance_low,gamma_dyn,"[""log10_gamma_dyn""]",2,"[0.3935016926197741, 0.23533907063119525]","[0.07854403449570166, 0.04290741542879845]",2,True,9.15283375484911,107.78740205952545,77.15101365740588,82.35101365740589,82.28091237232896,0.5505886430534751,0.9895772056281704,0.9453518109388679,1.1290951990058096,False
all_six,distance_low,gamma_gas,"[""log10_gamma_gas""]",2,"[0.46481360437537733, 0.20396290810001672]","[0.06948740330463966, 0.03930759610495487]",2,True,7.9183155456104615,110.94594543749095,80.30955703537141,85.50955703537142,85.43945575029448,0.5512973927668829,1.0252882889943953,0.9465687227541147,1.1698410979117018,False
all_six,distance_low,gamma_dyn_plus_fgas,"[""log10_gamma_dyn"", ""fgas""]",3,"[1.1517092422349624, 0.4718405106115174, -1.3958251640719663]","[0.19054397636158146, 0.06908916931031742, 0.31959427561593323]",3,True,40.9870169825636,88.7124232856017,58.07603488348215,66.74270155014882,65.77088295586677,0.4838323721697578,1.0196098059690284,0.8307323716030687,1.1633620198922077,False
all_six,distance_high,intercept,[],1,[0.7394014343519351],[0.02015592164847438],1,True,1.0,125.16102453377438,94.52463613165486,96.88827249529122,97.0895854891164,0.5564523806746163,0.7898023575713837,1.0,1.0,False
all_six,distance_high,gamma_dyn,"[""log10_gamma_dyn""]",2,"[0.27924605670284525, 0.2600855103016059]","[0.07854403449570166, 0.04290741542879845]",2,True,9.15283375484911,88.4186173962182,57.782228994098645,62.98222899409865,62.91212770902172,0.49763351075537765,0.8919047750712691,0.8942966694689499,1.1292759087398105,False
all_six,distance_high,gamma_gas,"[""log10_gamma_gas""]",2,"[0.35648596528847537, 0.2263384504188495]","[0.06948740330463966, 0.03930759610495487]",2,True,7.9183155456104615,92.00490423800343,61.36851583588388,66.56851583588389,66.49841455080696,0.5116061089616739,0.9292721794455087,0.9194068113095807,1.1765882572229716,False
all_six,distance_high,gamma_dyn_plus_fgas,"[""log10_gamma_dyn"", ""fgas""]",3,"[1.0571596002122863, 0.5027336787530431, -1.4321029908683442]","[0.19054397636158146, 0.06908916931031742, 0.31959427561593323]",3,True,40.9870169825636,68.33922718132241,37.702838779202864,46.36950544586953,45.39768685158747,0.4384508843286727,0.9053283561509334,0.7879396324931088,1.146272035620137,False
