Galaxy,Q,Inc_deg,N,in_primary,Mbar_Msun,vh_kms,vh_lo,vh_hi,chi2red_ssv,chi2red_nfw,nfw_v200,nfw_c,chi2red_mond,chi2red_cored_posthoc,cored_vh,cored_rc_kpc,chi2red_flynn
F565-V2,2,60.0,7,0,1.2092e+09,63.00,60.25,65.50,5.707,0.375,384.7,1.00,1.094,0.043,89.0,5.07,1.794
F567-2,3,20.0,5,0,4.3242e+09,38.75,35.50,41.75,1.027,0.631,37.6,8.52,5.644,0.444,45.1,2.40,1.828
F568-1,1,26.0,12,0,9.1083e+09,85.50,82.25,88.75,12.609,0.838,167.7,6.40,6.905,0.070,130.6,3.69,12.487
F568-3,1,40.0,18,1,8.4224e+09,40.50,39.00,42.00,16.124,3.221,374.1,1.00,2.781,0.890,109.2,6.22,19.734
F568-V1,1,40.0,15,1,5.2255e+09,94.50,91.75,97.00,1.884,0.217,86.0,14.70,9.400,0.075,113.5,2.69,36.847
F571-8,1,85.0,13,1,7.4521e+09,79.25,77.75,80.75,91.194,19.254,600.0,1.35,40.570,10.346,170.7,9.20,96.396
F571-V1,2,30.0,7,0,2.5431e+09,67.25,64.50,70.00,3.574,0.319,90.9,4.76,0.783,0.027,82.8,5.15,4.870
F574-1,1,65.0,14,1,7.9554e+09,70.75,69.50,72.00,24.562,1.644,90.3,7.77,3.517,0.096,93.1,3.26,41.141
F574-2,3,30.0,5,0,3.7008e+09,9.50,0.00,17.50,0.052,0.044,14.3,1.08,22.091,0.038,13.4,3.76,0.125
F579-V1,1,26.0,14,0,8.9098e+09,86.00,82.75,89.00,2.999,0.190,67.0,21.97,3.486,0.014,97.6,1.12,20.169
F583-1,1,63.0,25,1,3.3206e+09,48.25,47.25,49.25,11.991,1.563,100.1,4.59,3.649,0.189,83.7,4.28,31.278
F583-4,1,55.0,12,1,1.7100e+09,45.00,43.50,46.25,9.880,0.152,87.7,4.38,1.311,0.410,59.3,2.14,6.297
IC2574,2,75.0,34,0,1.8859e+09,19.25,19.25,19.50,282.209,35.926,132.3,1.00,238.407,3.063,74.3,8.89,45.667
IC4202,1,90.0,32,1,1.0627e+11,117.75,116.25,119.25,96.757,40.175,226.2,6.14,37.408,31.870,197.2,6.95,559.890
KK98-251,2,59.0,15,0,1.9545e+08,14.75,14.00,15.25,11.718,1.861,122.4,1.00,29.406,0.270,41.3,3.00,6.721
NGC0024,1,64.0,29,1,2.8436e+09,83.25,82.25,84.50,12.409,0.931,68.1,21.88,10.461,0.301,100.1,1.17,58.114
NGC0055,2,77.0,21,0,4.3954e+09,49.25,48.75,49.75,28.474,2.969,214.2,1.40,51.126,0.394,84.4,6.43,88.340
NGC0100,1,89.0,21,1,4.2627e+09,53.00,51.75,54.00,15.935,0.756,427.5,1.00,1.868,0.072,89.9,4.47,31.022
NGC0247,2,74.0,26,0,5.9882e+09,53.50,53.25,53.75,58.522,1.850,97.8,6.00,4.359,3.555,78.2,2.68,128.064
NGC0289,2,46.0,28,0,7.2566e+10,143.25,142.00,144.50,2.903,1.953,127.0,8.94,11.615,2.033,149.2,6.16,137.547
NGC0300,2,42.0,25,0,2.7059e+09,70.25,69.50,71.00,22.614,0.647,97.4,6.60,2.406,0.552,92.0,3.49,35.370
NGC0801,1,80.0,13,1,1.8714e+11,143.25,141.50,145.00,27.352,7.634,144.5,7.05,86.876,7.391,155.9,3.12,450.073
