bounds,scenario,galaxy,points,model,family,parameter_count,chi2,chi2_reduced,aicc,delta_aicc,bic,delta_bic,condition_number,practical_rank,rank,maximum_absolute_correlation,boundary_parameters,parameters_dimensionless,delta_aicc_vs_pISO,delta_bic_vs_pISO,delta_aicc_vs_cored_log,delta_bic_vs_cored_log
primary,light,NGC5055,28,L_Q,logsvt,2,2674.249245015631,102.85574019290888,2678.729245015631,2624.7354143552325,2680.9136540359814,2623.3301357696646,11.879405015644487,2,2,0.9654540695728484,,"{""L"": 3.814382000213428, ""Q"": 3.6483435644406152}",2437.5049220227756,2437.5049220227756,2496.146694243637,2496.146694243637
primary,light,NGC5055,28,k1,logsvt,2,299.6071661371455,11.523352543736365,304.0871661371455,250.09333547674714,306.27157515749593,248.68805689117934,8.26382497584921,2,2,0.8525624861512766,,"{""B"": 0.40445834385369683, ""u1"": 14.849168572232788}",62.862843144290025,62.862843144290025,121.50461536515127,121.50461536515127
primary,light,NGC5055,28,k1_Q,logsvt,3,77.95793097241031,3.118317238896412,84.95793097241031,30.964100312011922,87.95454450293592,30.371026236619322,29.76677446214779,3,3,0.9711158879522592,,"{""B"": 0.5172139072850834, ""Q"": 0.2863603910858885, ""u1"": 8.257459248292388}",-156.26639202044518,-155.45418751027,-97.62461979958394,-96.81241528940875
primary,light,NGC5055,28,k1_L,logsvt,3,68.18382055612751,2.7273528222451007,75.18382055612751,21.189989895729127,78.18043408665312,20.596915820336527,31.62877623159207,3,3,0.9868063902213556,,"{""B"": 0.6349626793191087, ""L"": -0.44325972029505556, ""u1"": 6.656901740352577}",-166.040502436728,-165.22829792655278,-107.39873021586673,-106.58652570569154
primary,light,NGC5055,28,k1_L_Q,logsvt,4,68.18382095631833,2.840992539846597,77.92295139110094,23.92912073070255,81.51263899701914,23.929120730702543,1685500934.4451463,3,4,0.9980192901749595,logQ,"{""B"": 0.634962671847553, ""L"": -0.4432596960093182, ""Q"": 1.5229979748686574e-08, ""u1"": 6.6569018313834265}",-163.30137160175457,-161.89609301618677,-104.65959938089331,-103.25432079532553
primary,light,NGC5055,28,k2,logsvt,2,178.10255077199406,6.850098106615156,182.58255077199405,128.58872011159565,184.76695979234447,127.18344152602788,7.566599672760209,2,2,0.6692827902034815,,"{""B"": 0.18340512288981994, ""u2"": 171.98382207002456}",-58.64177222086144,-58.64177222086144,-1.9895196601282805e-13,-1.9895196601282805e-13
primary,light,NGC5055,28,k2_Q,logsvt,3,162.45231067436296,6.498092426974519,169.45231067436296,115.45848001396458,172.44892420488858,114.865405938572,75.3744505508963,3,3,0.8660205933667018,,"{""B"": 0.18934217392936686, ""Q"": 0.05144263980526831, ""u2"": 154.81263142981663}",-71.77201231849253,-70.95980780831732,-13.130240097631287,-12.31803558745608
primary,light,NGC5055,28,k2_L,logsvt,3,166.57893624760928,6.6631574499043715,173.57893624760928,119.58510558721089,176.5755497781349,118.99203151181831,14.725480974548763,3,3,0.9421998978980929,,"{""B"": 0.1917553944439583, ""L"": -0.05114127589033831, ""u2"": 153.93295526792406}",-67.64538674524621,-66.833182235071,-9.003614524384972,-8.191410014209765
primary,light,NGC5055,28,k2_L_Q,logsvt,4,135.11472632944708,5.629780263726961,144.85385676422968,90.86002610383129,148.4435443701479,90.8600261038313,66.91840864717962,4,4,0.9933064687046009,,"{""B"": 0.14279867537914873, ""L"": 0.7351058301860302, ""Q"": 0.6863403511765556, ""u2"": 231.53198982405738}",-96.37046622862582,-94.96518764305802,-37.728694007764574,-36.323415422196774
primary,light,NGC5055,28,k12,logsvt,3,168.56711447453466,6.742684578981386,175.56711447453466,121.57328381413627,178.56372800506028,120.9802097387437,114.28347395574484,3,3,0.8072046652029843,,"{""B"": 0.1868798983885407, ""u1"": 3.5538669770803333, ""u2"": 178.14487761444852}",-65.65720851832083,-64.84500400814562,-7.015436297459587,-6.2032317872843805
